Time interval, IBI
14.046875,0.5
33.234375,0.375
454.65625,0.703125
455.359375,0.703125
456.109375,0.75
456.875,0.765625
499.40625,0.78125
500.265625,0.859375
505.84375,0.890625
506.734375,0.890625
670.78125,0.921875
671.671875,0.890625
672.546875,0.875
673.5,0.953125
674.515625,1.015625
675.515625,1
676.390625,0.875
677.265625,0.875
678.296875,1.03125
679.390625,1.09375
680.375,0.984375
681.296875,0.921875
682.21875,0.921875
683.234375,1.015625
684.265625,1.03125
685.171875,0.90625
686.046875,0.875
686.984375,0.9375
688.015625,1.03125
689,0.984375
689.875,0.875
690.75,0.875
691.71875,0.96875
692.671875,0.953125
693.5,0.828125
694.296875,0.796875
695.265625,0.96875
818.59375,0.890625
845.65625,0.953125
846.5,0.84375
847.40625,0.90625
848.328125,0.921875
849.15625,0.828125
850.046875,0.890625
856.40625,0.921875
857.28125,0.875
858.171875,0.890625
859.078125,0.90625
870.640625,1.046875
871.484375,0.84375
872.40625,0.921875
876.875,0.859375
877.78125,0.90625
878.671875,0.890625
879.5,0.828125
880.375,0.875
881.25,0.875
882.078125,0.828125
882.953125,0.875
996.65625,0.875
997.484375,0.828125
998.328125,0.84375
999.21875,0.890625
1000.0625,0.84375
1000.921875,0.859375
1001.8125,0.890625
1002.671875,0.859375
1003.578125,0.90625
1004.453125,0.875
1005.3125,0.859375
1006.140625,0.828125
1006.9375,0.796875
1007.734375,0.796875
1008.5625,0.828125
1009.375,0.8125
1010.15625,0.78125
1011,0.84375
1011.84375,0.84375
1025.03125,0.828125
1025.921875,0.890625
1026.828125,0.90625
1027.765625,0.9375
1028.59375,0.828125
1086.75,0.765625
1150.59375,0.75
1290.78125,0.921875
1291.625,0.84375
1292.5,0.875
1293.421875,0.921875
1294.296875,0.875
1295.171875,0.875
1296.078125,0.90625
1297,0.921875
1377.625,0.84375
1378.484375,0.859375
1379.375,0.890625
1380.25,0.875
1381.09375,0.84375
1382.015625,0.921875
1382.921875,0.90625
1383.78125,0.859375
1384.65625,0.875
1385.546875,0.890625
1386.390625,0.84375
1387.28125,0.890625
1388.171875,0.890625
1389.03125,0.859375
1389.921875,0.890625
1390.8125,0.890625
1391.65625,0.84375
1392.53125,0.875
1393.390625,0.859375
1394.25,0.859375
1395.125,0.875
1396,0.875
1396.84375,0.84375
1397.734375,0.890625
1398.640625,0.90625
1399.5,0.859375
1400.421875,0.921875
1401.3125,0.890625
1402.203125,0.890625
1403.15625,0.953125
1404,0.84375
1404.890625,0.890625
1405.828125,0.9375
1406.640625,0.8125
1407.546875,0.90625
1408.484375,0.9375
1409.34375,0.859375
1410.265625,0.921875
1411.125,0.859375
1412,0.875
1412.90625,0.90625
1413.8125,0.90625
1414.671875,0.859375
1415.5,0.828125
1543.09375,0.828125
1543.875,0.78125
1544.625,0.75
1545.40625,0.78125
1582.828125,0.875
1599.5,0.84375
1600.328125,0.828125
1601.125,0.796875
1601.96875,0.84375
1602.8125,0.84375
1603.671875,0.859375
1604.578125,0.90625
1605.4375,0.859375
1606.234375,0.796875
1607.109375,0.875
1607.9375,0.828125
1608.78125,0.84375
1609.625,0.84375
1610.515625,0.890625
1611.421875,0.90625
1612.296875,0.875
1613.140625,0.84375
1614.015625,0.875
1614.859375,0.84375
1615.71875,0.859375
1616.5625,0.84375
1617.40625,0.84375
1618.25,0.84375
1619.09375,0.84375
1619.953125,0.859375
1620.78125,0.828125
1621.609375,0.828125
1622.453125,0.84375
1623.25,0.796875
1624.09375,0.84375
1624.953125,0.859375
1625.78125,0.828125
1626.625,0.84375
1632.4375,0.796875
1633.25,0.8125
1634.09375,0.84375
1634.921875,0.828125
1635.71875,0.796875
1636.53125,0.8125
1637.375,0.84375
1638.203125,0.828125
1639.046875,0.84375
1639.890625,0.84375
1640.734375,0.84375
1641.53125,0.796875
1660.25,0.8125
1661.078125,0.828125
1661.921875,0.84375
1662.703125,0.78125
1663.34375,0.640625
1664.25,0.90625
1665.078125,0.828125
1665.921875,0.84375
1666.734375,0.8125
1667.515625,0.78125
1668.34375,0.828125
1669.1875,0.84375
1669.96875,0.78125
1670.84375,0.875
1671.734375,0.890625
1672.5625,0.828125
1673.3125,0.75
1673.9375,0.625
1679.609375,0.90625
1680.453125,0.84375
1681.296875,0.84375
1682.1875,0.890625
1683.03125,0.84375
1683.890625,0.859375
1684.671875,0.78125
1714.53125,0.859375
1715.4375,0.90625
1716.296875,0.859375
1717.21875,0.921875
1718.15625,0.9375
1719.015625,0.859375
1719.921875,0.90625
1720.859375,0.9375
1721.734375,0.875
1745.546875,0.875
1746.390625,0.84375
1747.234375,0.84375
1748.109375,0.875
1748.96875,0.859375
1749.78125,0.8125
1750.640625,0.859375
1751.578125,0.9375
1762.625,0.859375
1802.828125,0.890625
1803.765625,0.9375
1804.625,0.859375
1919.390625,0.890625
1920.28125,0.890625
1921.1875,0.90625
1922.078125,0.890625
1922.921875,0.84375
1923.828125,0.90625
1924.734375,0.90625
1925.578125,0.84375
1926.453125,0.875
1927.359375,0.90625
1978.5,0.828125
1979.34375,0.84375
1980.234375,0.890625
1981.296875,1.0625
1982.046875,0.75
1983.03125,0.984375
1983.96875,0.9375
1984.875,0.90625
1985.859375,0.984375
1986.8125,0.953125
1987.828125,1.015625
1988.78125,0.953125
1989.671875,0.890625
1990.59375,0.921875
1991.59375,1
1992.578125,0.984375
1993.546875,0.96875
1994.46875,0.921875
1995.359375,0.890625
1996.1875,0.828125
1997,0.8125
1997.84375,0.84375
1998.8125,0.96875
1999.765625,0.953125
2000.609375,0.84375
2001.453125,0.84375
2002.328125,0.875
2003.296875,0.96875
2004.171875,0.875
2005.046875,0.875
2005.90625,0.859375
2006.703125,0.796875
2072.171875,0.84375
2073.0625,0.890625
2073.90625,0.84375
2074.84375,0.9375
2135.8125,0.78125
2136.546875,0.734375
2137.3125,0.765625
2138.0625,0.75
2138.8125,0.75
2282.640625,0.734375
2283.453125,0.8125
2284.296875,0.84375
2285.046875,0.75
2328.71875,0.953125
2329.65625,0.9375
2330.53125,0.875
2343.65625,1.015625
2344.703125,1.046875
2350.875,0.921875
2351.75,0.875
2352.625,0.875
2353.578125,0.953125
2359.078125,0.984375
2359.859375,0.78125
2360.65625,0.796875
2463.109375,0.890625
2501.6875,0.84375
2502.5625,0.875
2503.25,0.6875
2510.28125,0.859375
2511.203125,0.921875
2525.046875,0.84375
2525.90625,0.859375
2526.75,0.84375
2534.375,0.890625
2546.78125,0.828125
2547.640625,0.859375
2548.53125,0.890625
2549.375,0.84375
2550.265625,0.890625
2551.09375,0.828125
2551.9375,0.84375
2552.8125,0.875
2553.59375,0.78125
2554.375,0.78125
2555.21875,0.84375
2561.84375,0.796875
2562.65625,0.8125
2571.9375,0.8125
2572.71875,0.78125
2673.671875,0.734375
2674.375,0.703125
2675.078125,0.703125
2675.796875,0.71875
2676.578125,0.78125
2677.296875,0.71875
2678.03125,0.734375
2678.8125,0.78125
2758.578125,0.796875
2759.484375,0.90625
2760.390625,0.90625
2788.75,0.890625
2789.671875,0.921875
2790.65625,0.984375
2791.578125,0.921875
2792.515625,0.9375
2806.21875,0.9375
2807.15625,0.9375
2821.609375,0.875
2822.515625,0.90625
2823.484375,0.96875
2824.375,0.890625
2825.296875,0.921875
2826.203125,0.90625
2827.078125,0.875
2843.734375,0.875
2844.640625,0.90625
2945.953125,0.8125
2946.765625,0.8125
2947.59375,0.828125
2948.46875,0.875
2949.296875,0.828125
2950.078125,0.78125
2950.875,0.796875
2951.640625,0.765625
2952.46875,0.828125
2953.328125,0.859375
2954.140625,0.8125
2954.96875,0.828125
2955.828125,0.859375
2956.625,0.796875
2957.484375,0.859375
2958.34375,0.859375
2959.140625,0.796875
2959.953125,0.8125
2960.75,0.796875
2961.578125,0.828125
2962.40625,0.828125
2963.203125,0.796875
2964,0.796875
2964.78125,0.78125
2965.53125,0.75
3027.84375,0.921875
3028.75,0.90625
3029.609375,0.859375
3030.515625,0.90625
3031.390625,0.875
3032.234375,0.84375
3033.078125,0.84375
3034.125,1.046875
3050.421875,0.984375
3064.453125,0.859375
3065.21875,0.765625
3066.125,0.90625
3103.328125,0.859375
3108.703125,1
3109.75,1.046875
3110.6875,0.9375
