Time interval, IBI
129.390625,0.640625
130,0.609375
130.671875,0.671875
131.359375,0.6875
132.046875,0.6875
132.703125,0.65625
307.90625,0.734375
308.53125,0.625
771.734375,0.5
791.40625,0.5625
830.65625,0.390625
831,0.34375
933.953125,0.34375
956.046875,0.390625
1079.734375,0.40625
1246.65625,0.421875
1292.296875,0.328125
1292.78125,0.484375
1293.140625,0.359375
1293.578125,0.4375
1299.5,0.40625
1299.859375,0.359375
1300.234375,0.375
1359.28125,0.578125
1359.828125,0.546875
1494.390625,0.34375
1494.734375,0.34375
1587.625,0.34375
1761.4375,0.328125
1981.9375,0.4375
