Time interval, IBI
31.546875,0.59375
32.09375,0.546875
32.546875,0.453125
93.25,0.578125
93.890625,0.640625
100.78125,0.578125
101.328125,0.546875
101.875,0.546875
102.4375,0.5625
103.046875,0.609375
103.71875,0.671875
104.421875,0.703125
105.078125,0.65625
105.71875,0.640625
106.34375,0.625
106.90625,0.5625
107.515625,0.609375
166.921875,0.671875
328.984375,0.546875
334.9375,0.703125
335.546875,0.609375
336.171875,0.625
336.84375,0.671875
347.890625,0.625
348.484375,0.59375
349.09375,0.609375
349.75,0.65625
350.375,0.625
351.03125,0.65625
351.8125,0.78125
363.34375,0.609375
363.984375,0.640625
364.5,0.515625
365.171875,0.671875
365.78125,0.609375
366.328125,0.546875
367.03125,0.703125
372.109375,0.625
372.734375,0.625
373.3125,0.578125
396.234375,0.578125
396.796875,0.5625
397.375,0.578125
397.984375,0.609375
398.640625,0.65625
399.265625,0.625
399.875,0.609375
400.484375,0.609375
401.0625,0.578125
415.03125,0.5625
415.6875,0.65625
416.34375,0.65625
417.078125,0.734375
417.78125,0.703125
418.484375,0.703125
419.171875,0.6875
419.828125,0.65625
420.375,0.546875
421.109375,0.734375
421.75,0.640625
422.375,0.625
423,0.625
423.609375,0.609375
424.203125,0.59375
424.84375,0.640625
425.4375,0.59375
425.96875,0.53125
426.640625,0.671875
427.296875,0.65625
427.984375,0.6875
428.640625,0.65625
429.21875,0.578125
429.734375,0.515625
432.96875,0.609375
433.65625,0.6875
448.609375,0.625
449.21875,0.609375
449.875,0.65625
450.5625,0.6875
451.203125,0.640625
451.828125,0.625
463.546875,0.5625
464.015625,0.46875
470.53125,0.640625
479.609375,0.6875
480.3125,0.703125
491.75,0.65625
495.453125,0.609375
496.09375,0.640625
496.703125,0.609375
497.375,0.671875
497.96875,0.59375
498.671875,0.703125
499.265625,0.59375
499.921875,0.65625
500.53125,0.609375
501.1875,0.65625
501.75,0.5625
514.75,0.625
515.390625,0.640625
516.015625,0.625
516.625,0.609375
517.234375,0.609375
517.8125,0.578125
518.375,0.5625
518.96875,0.59375
519.59375,0.625
520.234375,0.640625
520.875,0.640625
521.546875,0.671875
522.25,0.703125
523.015625,0.765625
523.765625,0.75
524.484375,0.71875
525.21875,0.734375
525.921875,0.703125
526.59375,0.671875
527.28125,0.6875
535.671875,0.640625
536.3125,0.640625
536.96875,0.65625
537.59375,0.625
538.25,0.65625
538.875,0.625
539.515625,0.640625
557.078125,0.546875
557.71875,0.640625
619.828125,0.65625
620.609375,0.78125
621.25,0.640625
633.0625,0.625
633.703125,0.640625
645.53125,0.609375
646.046875,0.515625
646.71875,0.671875
706.828125,0.609375
765.734375,0.625
766.390625,0.65625
766.96875,0.578125
767.640625,0.671875
768.28125,0.640625
802.15625,0.65625
802.8125,0.65625
803.453125,0.640625
804.0625,0.609375
804.6875,0.625
805.5,0.8125
845.578125,0.578125
846.140625,0.5625
874.59375,0.59375
875.265625,0.671875
887.296875,0.703125
888,0.703125
888.609375,0.609375
889.125,0.515625
889.828125,0.703125
890.453125,0.625
959.296875,0.640625
959.859375,0.5625
983.25,0.625
983.78125,0.53125
984.390625,0.609375
1019.984375,0.65625
1020.640625,0.65625
1021.296875,0.65625
1021.96875,0.671875
1022.640625,0.671875
1023.28125,0.640625
1023.9375,0.65625
1024.59375,0.65625
1025.265625,0.671875
1025.890625,0.625
1026.515625,0.625
1027.15625,0.640625
1027.78125,0.625
1028.390625,0.609375
1029.015625,0.625
1035.515625,0.609375
1036.15625,0.640625
1036.796875,0.640625
1037.484375,0.6875
1038.140625,0.65625
1038.78125,0.640625
1039.453125,0.671875
1040.15625,0.703125
1040.828125,0.671875
1041.46875,0.640625
1042.125,0.65625
1042.765625,0.640625
1043.40625,0.640625
1044.03125,0.625
1044.671875,0.640625
1045.28125,0.609375
1045.890625,0.609375
1046.515625,0.625
1047.171875,0.65625
1047.78125,0.609375
1048.390625,0.609375
1053.921875,0.546875
1054.484375,0.5625
1055.046875,0.5625
1055.609375,0.5625
1056.171875,0.5625
1056.765625,0.59375
1057.40625,0.640625
1097.125,0.546875
1097.640625,0.515625
1098.1875,0.546875
1098.75,0.5625
1099.328125,0.578125
1099.96875,0.640625
1127.421875,0.671875
1128.078125,0.65625
1128.75,0.671875
1129.40625,0.65625
1130.09375,0.6875
1140.015625,0.71875
1140.78125,0.765625
1141.5,0.71875
1142.21875,0.71875
1142.859375,0.640625
1143.546875,0.6875
1144.1875,0.640625
1144.921875,0.734375
1145.640625,0.71875
1146.4375,0.796875
1147.203125,0.765625
1147.953125,0.75
1148.765625,0.8125
1149.53125,0.765625
1150.265625,0.734375
1162.03125,0.671875
1162.734375,0.703125
1163.40625,0.671875
1164.046875,0.640625
1190.59375,0.703125
1191.359375,0.765625
1227.28125,0.65625
1227.96875,0.6875
1238.5,0.65625
1239.1875,0.6875
1239.875,0.6875
1240.578125,0.703125
1241.21875,0.640625
1241.9375,0.71875
1242.625,0.6875
1243.3125,0.6875
1243.984375,0.671875
1244.609375,0.625
1245.3125,0.703125
1245.84375,0.53125
1249.390625,0.671875
1250.015625,0.625
1250.703125,0.6875
1251.375,0.671875
1252.0625,0.6875
1252.765625,0.703125
1253.46875,0.703125
1254.109375,0.640625
1254.765625,0.65625
1255.40625,0.640625
1256.09375,0.6875
1256.734375,0.640625
1257.390625,0.65625
1258.046875,0.65625
1269.234375,0.71875
1269.890625,0.65625
1270.609375,0.71875
1271.265625,0.65625
1271.9375,0.671875
1282.125,0.734375
1282.890625,0.765625
1283.65625,0.765625
1284.375,0.71875
1285.109375,0.734375
1285.8125,0.703125
1286.5,0.6875
1287.21875,0.71875
1287.859375,0.640625
1288.53125,0.671875
1289.1875,0.65625
1289.875,0.6875
1307.359375,0.65625
1307.9375,0.578125
1308.609375,0.671875
1309.296875,0.6875
1309.984375,0.6875
1310.71875,0.734375
1311.4375,0.71875
1312.125,0.6875
1312.78125,0.65625
1313.46875,0.6875
1314.140625,0.671875
1314.78125,0.640625
1315.453125,0.671875
1316.09375,0.640625
1316.75,0.65625
1317.4375,0.6875
1318.15625,0.71875
1318.828125,0.671875
1319.546875,0.71875
1320.28125,0.734375
1320.984375,0.703125
1321.671875,0.6875
1322.359375,0.6875
1329.609375,0.78125
1330.390625,0.78125
1331.15625,0.765625
1331.953125,0.796875
1338.796875,0.625
1339.453125,0.65625
1340.171875,0.71875
1352.53125,0.578125
1353.0625,0.53125
1353.640625,0.578125
1354.234375,0.59375
1354.765625,0.53125
1355.359375,0.59375
1366.609375,0.65625
1367.265625,0.65625
1367.921875,0.65625
1368.5625,0.640625
1369.265625,0.703125
1374.578125,0.6875
1375.28125,0.703125
1375.96875,0.6875
1376.671875,0.703125
1377.359375,0.6875
1383.515625,0.6875
1384.25,0.734375
1384.890625,0.640625
1385.59375,0.703125
1386.25,0.65625
1410.421875,0.6875
1411.140625,0.71875
1411.859375,0.71875
1412.65625,0.796875
1413.421875,0.765625
1414.203125,0.78125
1415,0.796875
1415.75,0.75
1416.5,0.75
1417.21875,0.71875
1417.953125,0.734375
1418.671875,0.71875
1419.359375,0.6875
1420.03125,0.671875
1420.75,0.71875
1437.390625,0.796875
1455.25,0.53125
1526.4375,0.609375
1527.046875,0.609375
1527.671875,0.625
1544.28125,0.625
1544.890625,0.609375
1545.5625,0.671875
1546.265625,0.703125
1546.9375,0.671875
1547.59375,0.65625
1551.25,0.609375
1551.828125,0.578125
1552.40625,0.578125
1553,0.59375
1553.625,0.625
1554.25,0.625
1554.90625,0.65625
1560.953125,0.625
1561.609375,0.65625
1562.3125,0.703125
1563.140625,0.828125
1563.953125,0.8125
1564.75,0.796875
1565.546875,0.796875
1566.3125,0.765625
1567.0625,0.75
1611.46875,0.65625
1612.125,0.65625
1612.78125,0.65625
1623.796875,0.703125
1624.515625,0.71875
1625.1875,0.671875
1625.8125,0.625
1626.4375,0.625
1627.03125,0.59375
1627.65625,0.625
1637.875,0.65625
1641.59375,0.671875
1642.234375,0.640625
1642.890625,0.65625
1643.46875,0.578125
1644.0625,0.59375
1644.65625,0.59375
1645.203125,0.546875
1645.828125,0.625
1670.859375,0.515625
1671.578125,0.71875
1684.34375,0.609375
1719.578125,0.65625
1720.28125,0.703125
1730,0.84375
1730.734375,0.734375
1731.484375,0.75
1732.21875,0.734375
1732.9375,0.71875
1733.65625,0.71875
1734.328125,0.671875
1734.96875,0.640625
1735.578125,0.609375
1736.21875,0.640625
1736.859375,0.640625
1737.46875,0.609375
1738.140625,0.671875
1738.84375,0.703125
1739.421875,0.578125
1742.96875,0.609375
1743.59375,0.625
1744.1875,0.59375
1744.796875,0.609375
1745.46875,0.671875
1746.171875,0.703125
1754.8125,0.59375
1755.359375,0.546875
1755.953125,0.59375
2225.8125,0.8125
2249.796875,0.765625
2250.578125,0.78125
2255.875,0.6875
2256.640625,0.765625
2257.359375,0.71875
2258.0625,0.703125
2258.765625,0.703125
2259.515625,0.75
2262.921875,0.65625
2263.59375,0.671875
2264.328125,0.734375
2265.078125,0.75
2275.3125,0.625
2275.875,0.5625
2276.578125,0.703125
2277.234375,0.65625
2284.25,0.640625
2284.890625,0.640625
2306.875,0.65625
2307.5,0.625
2308.125,0.625
2308.734375,0.609375
2309.34375,0.609375
2309.96875,0.625
2345.625,0.65625
2346.3125,0.6875
2346.96875,0.65625
2351.90625,0.71875
2352.578125,0.671875
2353.25,0.671875
2353.859375,0.609375
2354.484375,0.625
2355.078125,0.59375
2374.328125,0.765625
2375.03125,0.703125
2375.71875,0.6875
2376.46875,0.75
2377.25,0.78125
2378.015625,0.765625
2378.796875,0.78125
2391,0.65625
2391.75,0.75
2392.53125,0.78125
2393.21875,0.6875
2393.953125,0.734375
2394.734375,0.78125
2395.4375,0.703125
2396.140625,0.703125
2396.828125,0.6875
2397.53125,0.703125
2398.25,0.71875
2398.984375,0.734375
2399.703125,0.71875
2400.4375,0.734375
2401.1875,0.75
2401.96875,0.78125
2402.6875,0.71875
2403.40625,0.71875
2404.125,0.71875
2404.890625,0.765625
2405.671875,0.78125
2406.390625,0.71875
2407.09375,0.703125
2413.53125,0.65625
2414.21875,0.6875
2414.875,0.65625
2415.53125,0.65625
2416.171875,0.640625
2458.796875,0.6875
2459.46875,0.671875
2460.09375,0.625
2460.78125,0.6875
2461.421875,0.640625
2462.078125,0.65625
2462.75,0.671875
2463.453125,0.703125
2464.15625,0.703125
2464.796875,0.640625
2468.625,0.75
2469.453125,0.828125
2470.296875,0.84375
2471.09375,0.796875
2471.90625,0.8125
2472.609375,0.703125
2497.53125,0.890625
2507.296875,0.734375
2508.015625,0.71875
2508.734375,0.71875
2509.34375,0.609375
2510.15625,0.8125
2510.859375,0.703125
2511.59375,0.734375
2512.28125,0.6875
2512.9375,0.65625
2513.53125,0.59375
2514.171875,0.640625
2514.8125,0.640625
2515.421875,0.609375
2516.015625,0.59375
2516.625,0.609375
2517.296875,0.671875
2518.0625,0.765625
2518.8125,0.75
2519.59375,0.78125
2520.4375,0.84375
2521.296875,0.859375
2522.0625,0.765625
2522.8125,0.75
2523.546875,0.734375
2524.296875,0.75
2525,0.703125
2525.6875,0.6875
2526.4375,0.75
2527.203125,0.765625
2527.921875,0.71875
2528.65625,0.734375
2532.984375,0.640625
2533.640625,0.65625
2534.28125,0.640625
2534.921875,0.640625
2535.546875,0.625
2536.21875,0.671875
2536.9375,0.71875
2537.671875,0.734375
2538.390625,0.71875
2539.171875,0.78125
2539.984375,0.8125
2540.75,0.765625
2541.46875,0.71875
2542.171875,0.703125
2542.875,0.703125
2543.59375,0.71875
2544.265625,0.671875
2544.9375,0.671875
2545.640625,0.703125
2546.359375,0.71875
2547.078125,0.71875
2553.1875,0.8125
2553.984375,0.796875
2554.78125,0.796875
2559.625,0.75
2560.390625,0.765625
2561.171875,0.78125
2561.921875,0.75
2562.640625,0.71875
2563.359375,0.71875
2564.109375,0.75
2564.84375,0.734375
2565.59375,0.75
2566.28125,0.6875
2567,0.71875
2567.765625,0.765625
2568.578125,0.8125
2569.34375,0.765625
2570.046875,0.703125
2570.765625,0.71875
2571.484375,0.71875
2572.203125,0.71875
2572.859375,0.65625
2573.515625,0.65625
2574.203125,0.6875
2575,0.796875
2575.90625,0.90625
2576.734375,0.828125
2577.5,0.765625
2578.28125,0.78125
2579.09375,0.8125
2579.84375,0.75
2580.578125,0.734375
2581.34375,0.765625
2582.125,0.78125
2582.90625,0.78125
2583.625,0.71875
2584.34375,0.71875
2585.109375,0.765625
2585.890625,0.78125
2586.6875,0.796875
2587.4375,0.75
2588.15625,0.71875
2588.90625,0.75
2589.671875,0.765625
2590.421875,0.75
2591.140625,0.71875
2591.9375,0.796875
2592.828125,0.890625
2593.6875,0.859375
2594.5625,0.875
2600,0.796875
2600.8125,0.8125
2621.828125,0.703125
2622.5,0.671875
2623.140625,0.640625
2623.8125,0.671875
2624.484375,0.671875
2625.09375,0.609375
2625.75,0.65625
2626.375,0.625
2627.03125,0.65625
2635.359375,0.65625
2635.984375,0.625
2636.625,0.640625
2637.265625,0.640625
2637.921875,0.65625
2642.796875,0.6875
2643.4375,0.640625
2644.109375,0.671875
2644.765625,0.65625
2645.40625,0.640625
2646.0625,0.65625
2646.703125,0.640625
2647.359375,0.65625
2648.0625,0.703125
2648.75,0.6875
2649.40625,0.65625
2650.125,0.71875
2656.21875,0.6875
2656.984375,0.765625
2657.71875,0.734375
2658.453125,0.734375
2659.21875,0.765625
2679.40625,0.6875
2688.84375,0.734375
2689.703125,0.859375
2690.625,0.921875
2703.4375,0.703125
2704.046875,0.609375
2704.828125,0.78125
2705.5,0.671875
2706.0625,0.5625
2706.875,0.8125
2707.53125,0.65625
2708.1875,0.65625
2722.734375,0.671875
2772.390625,0.71875
2773.046875,0.65625
2773.90625,0.859375
2812.96875,0.84375
2825.78125,0.703125
2826.546875,0.765625
2827.34375,0.796875
2828.0625,0.71875
2828.78125,0.71875
2829.5,0.71875
2830.265625,0.765625
2830.953125,0.6875
2831.640625,0.6875
2832.375,0.734375
2833.09375,0.71875
2833.8125,0.71875
2834.5,0.6875
2835.21875,0.71875
2835.984375,0.765625
2871.421875,0.671875
2872.125,0.703125
2872.859375,0.734375
2873.59375,0.734375
2880.515625,0.609375
2881.125,0.609375
2881.765625,0.640625
2882.390625,0.625
2883.015625,0.625
2883.6875,0.671875
2884.3125,0.625
2884.9375,0.625
2885.53125,0.59375
2915.953125,0.65625
2916.640625,0.6875
2917.34375,0.703125
2918,0.65625
2918.65625,0.65625
2919.34375,0.6875
2920.0625,0.71875
2930.828125,0.765625
2931.453125,0.625
2932.1875,0.734375
2932.90625,0.71875
2939.40625,0.671875
2940.03125,0.625
2940.671875,0.640625
2941.265625,0.59375
2942.03125,0.765625
2942.578125,0.546875
2983.65625,0.46875
2984.296875,0.640625
2984.8125,0.515625
2985.34375,0.53125
3043.03125,0.5625
3145.6875,0.5625
3146.265625,0.578125
3146.859375,0.59375
3147.484375,0.625
3148.09375,0.609375
3161.890625,0.578125
3162.515625,0.625
3163.203125,0.6875
3163.8125,0.609375
3168.640625,0.75
3173.59375,0.703125
3174.265625,0.671875
3174.984375,0.71875
3175.65625,0.671875
3176.34375,0.6875
3177.015625,0.671875
3177.71875,0.703125
3178.421875,0.703125
3188.359375,0.578125
3188.96875,0.609375
3189.578125,0.609375
3190.21875,0.640625
3190.796875,0.578125
3204.53125,0.671875
3205.296875,0.765625
3205.9375,0.640625
3206.59375,0.65625
3207.234375,0.640625
3207.890625,0.65625
3208.5,0.609375
3215.1875,0.609375
3215.734375,0.546875
3223.453125,0.671875
3224.078125,0.625
3291.375,0.578125
3292,0.625
3292.65625,0.65625
3293.296875,0.640625
3293.890625,0.59375
3294.546875,0.65625
3295.1875,0.640625
3295.78125,0.59375
3296.40625,0.625
3297.125,0.71875
3297.734375,0.609375
3298.34375,0.609375
3298.96875,0.625
3299.640625,0.671875
3300.296875,0.65625
3300.921875,0.625
3301.515625,0.59375
3302.21875,0.703125
3306.609375,0.625
3310.390625,0.625
3311.015625,0.625
3311.5625,0.546875
3312.1875,0.625
3312.78125,0.59375
3317.5625,0.59375
3318.15625,0.59375
3318.765625,0.609375
3319.40625,0.640625
3319.984375,0.578125
3320.59375,0.609375
3321.21875,0.625
3321.828125,0.609375
3322.421875,0.59375
3323.03125,0.609375
3323.625,0.59375
3324.21875,0.59375
3324.8125,0.59375
3325.453125,0.640625
3326.03125,0.578125
3326.609375,0.578125
3327.234375,0.625
3327.890625,0.65625
3328.5,0.609375
3329.15625,0.65625
3329.859375,0.703125
3330.453125,0.59375
3331.0625,0.609375
3331.65625,0.59375
3337.203125,0.59375
3337.765625,0.5625
3338.390625,0.625
3339.015625,0.625
3349.421875,0.875
3350.296875,0.875
3351.09375,0.796875
3351.921875,0.828125
3352.734375,0.8125
3353.53125,0.796875
3354.28125,0.75
3355.046875,0.765625
3361.203125,0.765625
3361.9375,0.734375
3362.640625,0.703125
3363.3125,0.671875
3364.015625,0.703125
3364.71875,0.703125
3365.46875,0.75
3366.1875,0.71875
3366.90625,0.71875
3367.640625,0.734375
3368.4375,0.796875
3369.171875,0.734375
3369.890625,0.71875
3370.609375,0.71875
3371.34375,0.734375
3372.0625,0.71875
3372.734375,0.671875
3373.40625,0.671875
3374.109375,0.703125
3374.828125,0.71875
3375.546875,0.71875
3376.265625,0.71875
3376.96875,0.703125
3377.6875,0.71875
3378.421875,0.734375
3379.109375,0.6875
3379.796875,0.6875
3380.46875,0.671875
3381.140625,0.671875
3381.8125,0.671875
3382.484375,0.671875
3383.125,0.640625
3383.8125,0.6875
3384.53125,0.71875
3385.25,0.71875
3385.890625,0.640625
3386.546875,0.65625
3387.234375,0.6875
3387.9375,0.703125
3388.65625,0.71875
3389.328125,0.671875
3390,0.671875
3390.703125,0.703125
3391.390625,0.6875
3392.109375,0.71875
3392.765625,0.65625
3393.421875,0.65625
3394.109375,0.6875
3394.78125,0.671875
3395.484375,0.703125
3396.140625,0.65625
3396.8125,0.671875
3397.46875,0.65625
3398.171875,0.703125
3398.90625,0.734375
3399.609375,0.703125
3400.28125,0.671875
3400.921875,0.640625
3401.53125,0.609375
3402.15625,0.625
3402.796875,0.640625
3403.484375,0.6875
3404.171875,0.6875
3404.859375,0.6875
3405.59375,0.734375
3406.328125,0.734375
3407.0625,0.734375
3407.75,0.6875
3408.421875,0.671875
3409.0625,0.640625
3409.734375,0.671875
3410.4375,0.703125
3411.109375,0.671875
3411.796875,0.6875
3412.5,0.703125
3413.234375,0.734375
3413.96875,0.734375
3414.625,0.65625
3415.4375,0.8125
3416.21875,0.78125
3416.90625,0.6875
3417.609375,0.703125
3418.3125,0.703125
3419.03125,0.71875
3419.734375,0.703125
3420.390625,0.65625
3421.078125,0.6875
3421.71875,0.640625
3422.375,0.65625
3423.0625,0.6875
3423.765625,0.703125
3424.484375,0.71875
3425.1875,0.703125
3425.921875,0.734375
3426.71875,0.796875
3427.46875,0.75
3428.21875,0.75
3428.984375,0.765625
3429.78125,0.796875
3430.5,0.71875
3431.203125,0.703125
3431.859375,0.65625
3432.546875,0.6875
3433.21875,0.671875
3433.859375,0.640625
3434.515625,0.65625
3435.0625,0.546875
3435.8125,0.75
3436.484375,0.671875
3437.09375,0.609375
3437.703125,0.609375
3491.953125,0.640625
3492.671875,0.71875
3493.25,0.578125
3616.953125,0.65625
3651,0.625
3651.65625,0.65625
3652.28125,0.625
3652.890625,0.609375
3653.515625,0.625
3654.078125,0.5625
3654.734375,0.65625
3655.359375,0.625
3655.984375,0.625
3656.5625,0.578125
3657.21875,0.65625
3657.703125,0.484375
3658.40625,0.703125
3659.015625,0.609375
3746.734375,0.59375
3747.390625,0.65625
3748.03125,0.640625
3748.65625,0.625
3749.25,0.59375
3749.9375,0.6875
3750.515625,0.578125
3751.109375,0.59375
3768.734375,0.6875
3769.46875,0.734375
3803.875,0.703125
3804.453125,0.578125
3805.171875,0.71875
3810.09375,0.640625
3810.78125,0.6875
3811.421875,0.640625
3812.125,0.703125
3812.796875,0.671875
3813.46875,0.671875
3814.046875,0.578125
3825.796875,0.59375
3826.4375,0.640625
3827.046875,0.609375
3827.640625,0.59375
3844.75,0.625
3845.328125,0.578125
3846.125,0.796875
3846.796875,0.671875
3847.390625,0.59375
3848.046875,0.65625
3866.984375,0.71875
3867.703125,0.71875
3868.34375,0.640625
3876.140625,0.671875
3876.8125,0.671875
3877.46875,0.65625
3878.140625,0.671875
3878.84375,0.703125
3879.5625,0.71875
3880.25,0.6875
3880.953125,0.703125
3881.703125,0.75
3882.390625,0.6875
3883.09375,0.703125
3883.765625,0.671875
3884.421875,0.65625
3885.109375,0.6875
3885.796875,0.6875
3886.46875,0.671875
3887.125,0.65625
3887.84375,0.71875
3888.578125,0.734375
3889.25,0.671875
3889.96875,0.71875
3890.703125,0.734375
3891.421875,0.71875
3892.140625,0.71875
3892.875,0.734375
3893.640625,0.765625
3894.375,0.734375
3895.09375,0.71875
3895.796875,0.703125
3909.875,0.609375
3910.46875,0.59375
3911.078125,0.609375
3911.6875,0.609375
3912.28125,0.59375
3912.890625,0.609375
3913.5,0.609375
3914.109375,0.609375
3939.296875,0.65625
3939.9375,0.640625
3940.609375,0.671875
3941.21875,0.609375
3941.84375,0.625
3942.46875,0.625
3943.0625,0.59375
3943.6875,0.625
3944.34375,0.65625
3955.703125,0.65625
3956.40625,0.703125
3957.0625,0.65625
3957.71875,0.65625
3958.375,0.65625
3959.03125,0.65625
3959.6875,0.65625
3960.3125,0.625
3960.953125,0.640625
3961.59375,0.640625
3962.234375,0.640625
3962.875,0.640625
3963.546875,0.671875
3964.234375,0.6875
3964.921875,0.6875
3972.296875,0.65625
3972.953125,0.65625
3973.609375,0.65625
3974.25,0.640625
3974.90625,0.65625
3975.4375,0.53125
3976.203125,0.765625
3976.828125,0.625
3977.453125,0.625
3978.046875,0.59375
3978.65625,0.609375
3979.265625,0.609375
3979.875,0.609375
3980.484375,0.609375
3981.109375,0.625
3981.75,0.640625
3982.359375,0.609375
3982.984375,0.625
3983.609375,0.625
3984.28125,0.671875
3988.8125,0.671875
3989.484375,0.671875
4003.640625,0.59375
4004.3125,0.671875
4004.953125,0.640625
4005.671875,0.71875
4006.3125,0.640625
4013.671875,0.65625
4014.328125,0.65625
4015,0.671875
4015.671875,0.671875
4016.3125,0.640625
4016.96875,0.65625
4017.640625,0.671875
4018.3125,0.671875
4019,0.6875
4019.640625,0.640625
4020.296875,0.65625
4021,0.703125
4021.71875,0.71875
4022.4375,0.71875
4023.125,0.6875
4023.78125,0.65625
4024.4375,0.65625
4025.109375,0.671875
4025.78125,0.671875
4026.4375,0.65625
4027.109375,0.671875
4027.765625,0.65625
4028.421875,0.65625
4029.09375,0.671875
4029.765625,0.671875
4030.46875,0.703125
4031.140625,0.671875
4031.859375,0.71875
4032.609375,0.75
4033.40625,0.796875
4034.171875,0.765625
4034.859375,0.6875
4035.5,0.640625
4036.125,0.625
4036.75,0.625
4037.375,0.625
4038.03125,0.65625
4038.75,0.71875
4039.5,0.75
4040.234375,0.734375
4040.921875,0.6875
4041.59375,0.671875
4042.3125,0.71875
4043.078125,0.765625
4043.8125,0.734375
4044.546875,0.734375
4045.234375,0.6875
4045.90625,0.671875
4046.59375,0.6875
4047.296875,0.703125
4048.015625,0.71875
4048.734375,0.71875
4049.40625,0.671875
4050.078125,0.671875
4079.734375,0.75
4080.34375,0.609375
4081.03125,0.6875
4081.640625,0.609375
4082.296875,0.65625
4082.9375,0.640625
4092.375,0.6875
4092.984375,0.609375
4100.28125,0.671875
4100.9375,0.65625
4101.5625,0.625
4102.203125,0.640625
4102.84375,0.640625
4103.46875,0.625
4104.125,0.65625
4104.75,0.625
4105.375,0.625
4106,0.625
4106.625,0.625
4107.28125,0.65625
4107.921875,0.640625
4108.5625,0.640625
4109.1875,0.625
4109.84375,0.65625
4110.5,0.65625
4111.15625,0.65625
4111.796875,0.640625
4112.421875,0.625
4113.046875,0.625
4113.671875,0.625
4114.28125,0.609375
4114.90625,0.625
4115.515625,0.609375
4124.109375,0.6875
4130.5625,0.671875
4131.25,0.6875
4131.921875,0.671875
4132.578125,0.65625
4133.25,0.671875
4133.921875,0.671875
4134.609375,0.6875
4135.296875,0.6875
4135.9375,0.640625
4136.59375,0.65625
4137.234375,0.640625
4137.875,0.640625
4138.484375,0.609375
4139.109375,0.625
4139.734375,0.625
4140.34375,0.609375
4140.96875,0.625
4141.625,0.65625
4142.25,0.625
4142.890625,0.640625
4143.5625,0.671875
4144.234375,0.671875
4144.90625,0.671875
4145.5625,0.65625
4146.203125,0.640625
4146.859375,0.65625
4147.515625,0.65625
4148.171875,0.65625
4148.828125,0.65625
4149.46875,0.640625
4150.125,0.65625
4150.8125,0.6875
4151.5,0.6875
4152.140625,0.640625
4152.78125,0.640625
4153.421875,0.640625
4154.046875,0.625
4154.65625,0.609375
4155.296875,0.640625
4155.921875,0.625
4156.546875,0.625
4157.1875,0.640625
4157.828125,0.640625
4158.46875,0.640625
4159.125,0.65625
4159.8125,0.6875
4160.484375,0.671875
4161.171875,0.6875
4161.828125,0.65625
4162.484375,0.65625
