X-axis,Y-axis,Z-axis,Blood Value pulse,Electrodermal activity,Heart rate,Time interval, IBI,Temperature
-46,16,-46,-260.37,0.407414,80,1825.515625,0.65625,32.75
-54,20,-47,-313.74,0.333106,80.34,1826.140625,0.625,32.75
-51,18,-43,-363.86,0.315169,80.7,1826.734375,0.59375,32.75
-57,18,-45,-409.8,0.317732,81.07,1827.34375,0.609375,32.75
-59,19,-38,-450.87,0.315169,81.45,1827.96875,0.625,32.75
-62,17,-30,-486.49,0.302358,81.79,1828.59375,0.625,32.75
-62,14,-18,-515.78,0.295952,82.14,1829.21875,0.625,32.75
-56,10,-8,-537.34,0.298514,82.53,1829.875,0.65625,32.77
-52,8,-5,-549.42,0.295952,82.92,1830.53125,0.65625,32.77
-33,5,10,-550.24,0.294671,83.73,1831.203125,0.671875,32.77
-32,2,12,-538.69,0.279297,84.55,1831.828125,0.625,32.77
-13,-2,19,-514.55,0.269047,85.35,1832.46875,0.640625,32.77
-17,-9,15,-479.02,0.245986,86.13,1833.140625,0.671875,32.77
-15,-11,25,-434.24,0.517595,86.17,1833.8125,0.671875,32.77
-35,-24,40,-382.83,0.798173,86.78,1834.4375,0.625,32.77
-24,-40,36,-327.45,0.55886,87.27,1835.125,0.6875,32.77
-14,-39,40,-270.32,0.35259,87.77,1835.78125,0.65625,32.77
-13,-50,43,-213.14,0.312874,88.25,1836.453125,0.671875,32.77
-21,-58,38,-157.15,0.314155,88.77,1837.109375,0.65625,32.77
-38,-68,31,-103.39,0.270595,89.4,1837.734375,0.625,32.75
-33,-86,45,-52.72,0.256502,90.13,1838.390625,0.65625,32.75
-28,-92,48,-6.18,0.236003,90.77,1839.046875,0.65625,32.75
-30,-90,34,35.34,0.230879,91.37,1839.65625,0.609375,32.75
-28,-88,43,71.13,0.218067,91.95,1840.328125,0.671875,32.77
-31,-82,55,100.93,0.214223,92.55,1840.984375,0.65625,32.77
-30,-76,54,124.9,0.211661,93.22,1841.640625,0.65625,32.77
-25,-62,46,143.6,0.207817,93.93,1842.28125,0.640625,32.77
-27,-58,42,157.81,0.195006,94.68,1842.953125,0.671875,32.77
-28,-59,43,168.28,0.202693,95.4,1843.640625,0.6875,32.77
-21,-59,41,175.6,0.205255,96.22,1844.203125,0.5625,32.77
-18,-58,36,180.12,0.197568,96.8,1844.9375,0.734375,32.77
-14,-56,37,182.01,0.193725,97.42,1845.578125,0.640625,32.77
-19,-57,32,181.39,0.192443,98.02,1846.234375,0.65625,32.77
-13,-53,31,178.46,0.187319,98.33,1846.90625,0.671875,32.77
-6,-44,30,173.62,0.189881,98.7,1852.703125,0.609375,32.77
-11,-43,30,167.41,0.1886,99.03,1853.328125,0.625,32.77
-12,-40,30,160.4,0.191162,99.37,1853.984375,0.65625,32.77
-6,-34,36,153.07,0.187319,99.73,1854.65625,0.671875,32.77
-7,-33,37,145.71,0.182194,100.15,1855.28125,0.625,32.77
-11,-34,40,138.31,0.179632,100.63,1855.953125,0.671875,32.79
-7,-32,43,130.74,0.173226,101.15,1856.609375,0.65625,32.79
-9,-30,46,122.8,0.173226,101.63,1857.265625,0.65625,32.79
-10,-31,48,114.46,0.171945,101.95,1857.90625,0.640625,32.79
-8,-29,49,105.85,0.171945,101.97,1858.546875,0.640625,32.77
-14,-32,51,97.31,0.169382,101.95,1859.171875,0.625,32.77
-10,-31,54,89.23,0.175788,101.97,1859.8125,0.640625,32.77
-9,-31,55,81.87,0.173226,101.98,1860.453125,0.640625,32.77
