X-axis,Y-axis,Z-axis
-58,14,-30
-56,16,-31
-55,16,-32
-56,15,-32
-54,15,-29
-55,15,-30
-51,17,-33
-52,14,-36
-52,16,-38
-56,15,-38
-56,12,-34
-53,15,-32
-51,16,-43
-55,20,-48
-58,17,-35
-56,13,-40
-49,14,-34
-51,15,-31
-57,15,-30
-59,11,-31
-57,13,-25
-63,15,-14
-55,17,-6
-63,14,-8
-62,18,-8
-66,15,-8
-66,14,-1
-59,12,1
-61,14,6
-63,14,8
-64,16,8
-52,16,13
-64,18,14
-64,17,13
-53,16,20
-53,17,20
-63,13,18
-57,11,19
-57,14,17
-57,15,21
-57,18,19
-61,14,23
-55,16,21
-53,17,23
-55,17,24
-60,19,26
-61,11,20
-60,20,23
-59,16,24
-58,19,27
-57,15,26
-52,18,26
-56,19,31
-57,17,17
-57,19,20
-53,19,22
-58,18,7
-65,16,4
-64,22,2
-58,16,-7
-62,17,-3
-56,17,-6
-58,20,-11
-65,20,-14
-61,23,-16
-62,23,-19
-36,3,-21
-74,6,-25
-64,19,-25
-50,19,-21
-50,18,-21
-56,20,-27
-60,22,-27
-55,23,-29
-41,21,-27
-73,13,-34
-48,28,-32
-43,27,-34
-59,27,-40
-50,24,-41
-43,22,-40
-47,23,-39
-45,24,-41
-44,26,-40
-44,26,-38
-43,22,-39
-46,24,-41
-46,23,-41
-43,22,-42
-48,23,-44
-44,26,-45
-33,26,-40
-39,25,-43
-38,28,-46
-36,27,-47
-32,28,-46
-35,27,-48
-33,27,-48
-32,28,-48
-33,28,-47
-34,26,-48
-33,28,-45
-40,31,-48
-34,30,-47
-34,30,-48
-36,29,-48
-33,28,-46
-32,28,-46
-35,29,-50
-36,28,-45
-39,28,-46
-39,29,-44
-43,31,-42
-43,29,-37
-45,30,-35
-43,27,-25
-55,25,-33
-58,31,-32
-54,24,-24
-58,24,-27
-49,30,-25
-47,27,-24
-51,29,-25
-53,37,-25
-51,14,-26
-60,28,-23
-59,27,-24
-58,28,-23
-59,24,-21
-51,26,-19
-55,28,-16
-59,27,-18
-58,28,-18
-56,31,-17
-61,25,-18
-60,28,-15
-54,24,-13
-55,25,-13
-57,23,-13
-61,25,-14
-58,29,-13
-58,26,-13
-52,16,-9
-41,13,-34
-52,12,-10
-57,24,-14
-60,25,-13
-58,24,-12
-58,24,-11
-58,25,-13
-61,25,-14
-59,26,-15
-57,27,-13
-56,27,-12
-56,26,-12
-58,26,-14
-59,27,-12
-57,27,-12
-57,28,-13
-57,28,-12
-57,28,-12
-56,28,-13
-57,27,-12
-58,27,-15
-57,27,-14
-59,27,-15
-57,26,-13
-56,26,-14
-57,28,-15
-57,27,-14
-57,26,-14
-52,31,-15
-62,23,-14
-60,26,-16
-63,24,-17
-54,25,-14
-56,26,-15
-57,26,-15
-57,27,-17
-53,28,-16
-50,27,-19
-57,29,-15
-67,32,-30
-56,28,-20
-57,28,-21
-55,29,-22
-49,28,-28
-52,31,-27
-68,26,-19
-62,20,-25
-49,28,-21
-45,30,-23
-52,27,-23
-58,26,-24
-63,26,-26
-63,30,-24
-59,25,-17
-58,23,-11
-58,22,-5
-60,28,-1
-61,30,-2
-50,24,11
-59,26,5
-63,25,9
-56,21,16
-21,17,6
-50,31,23
-59,21,15
-65,45,29
-54,23,22
-56,30,31
-50,26,31
-48,26,31
-56,22,27
-54,23,30
-52,24,32
-46,26,35
-35,19,38
-41,27,30
-56,22,26
-54,31,24
-59,23,21
-59,25,18
-68,19,13
-65,17,15
-53,24,19
-61,24,18
-59,23,22
-58,22,21
-59,25,23
-56,30,20
-60,21,22
-57,22,22
-56,24,22
-53,25,24
-59,21,22
-59,28,20
-52,23,26
-49,30,24
-51,24,24
-57,29,17
-61,30,22
-54,28,20
-55,36,19
-49,33,18
-101,22,12
-32,23,33
-53,25,20
-40,31,20
-75,38,12
-59,30,13
-48,28,15
-58,30,14
-56,28,15
-56,30,16
-54,29,16
-52,27,17
-54,22,14
-54,29,14
-56,29,11
-58,27,6
-62,38,14
-55,22,11
-88,33,3
-46,25,5
-62,26,7
-57,27,7
-54,25,3
-72,26,8
-55,28,9
-67,26,4
-57,26,4
-59,21,9
-75,13,8
-65,15,10
-50,32,17
-52,30,14
-71,13,8
-60,30,8
-73,25,7
-57,26,13
-63,23,11
-22,6,9
-27,20,33
-32,11,30
-53,33,33
-58,25,31
-50,21,31
-51,27,26
-54,26,28
-51,25,31
-49,24,31
-47,26,30
-51,29,26
-59,31,17
-57,27,16
-55,27,17
-60,28,13
-57,30,15
-58,30,13
-57,28,13
-57,28,13
-55,30,13
-55,27,8
-56,29,10
-56,29,10
-57,30,8
-56,30,10
-56,29,9
-58,30,8
-57,31,8
-54,30,7
-58,30,4
-52,31,-1
-39,46,7
-69,34,-7
-64,34,-11
-51,29,0
-53,31,1
-59,30,-2
-61,27,-5
-59,25,-2
-60,24,-5
-63,31,-7
-59,28,0
-59,28,4
-61,29,-1
-54,25,13
-55,19,14
-61,26,10
-50,21,21
-54,23,20
-58,28,12
-57,26,13
-59,24,19
-54,28,20
-58,25,18
-56,23,22
-53,24,25
-55,24,22
-60,25,20
-56,25,20
-56,25,21
-55,24,22
-60,27,15
-58,14,19
-60,27,19
-52,28,19
-55,31,17
-58,25,18
-56,28,13
-56,24,13
-59,26,16
-58,26,15
-53,25,15
-57,22,13
-57,27,11
-58,22,13
-62,23,11
-59,26,12
-63,22,12
-57,26,12
-63,17,10
-60,28,11
-62,27,10
-58,26,9
-60,23,9
-58,30,12
-57,28,15
-56,26,12
-57,24,17
-59,27,17
-53,27,17
-50,25,16
-53,21,15
-61,31,5
-65,29,4
-62,26,4
-62,29,4
-57,25,5
-60,30,1
-59,30,-2
-56,28,0
-56,26,-1
-54,30,-5
-67,28,-7
-62,32,-10
-52,38,-9
-62,19,-13
-42,32,-14
-56,28,-16
-52,31,-17
-59,30,-21
-70,26,-12
-55,29,-16
-52,36,-17
-46,35,-18
-47,30,-20
-48,32,-21
-49,34,-26
-56,37,-27
-61,40,-22
-50,36,-20
-58,28,-22
-52,35,-15
-48,28,-15
-47,46,-18
-64,30,-30
-26,30,-14
-49,30,-27
-21,48,-18
-59,25,-36
-48,29,-39
-50,29,-43
-42,28,-45
-40,34,-39
-34,34,-44
-36,27,-52
-30,30,-50
-32,30,-46
-32,27,-46
-34,25,-49
-33,25,-53
-30,26,-51
-29,32,-48
-31,29,-46
-29,28,-49
-27,27,-52
-28,27,-54
-30,23,-56
-31,19,-56
-24,23,-54
-24,24,-54
-24,24,-55
-26,22,-55
-26,23,-54
-27,25,-55
-29,20,-58
-28,18,-55
-33,14,-54
-38,11,-55
-24,19,-53
-32,18,-59
-29,17,-58
-23,32,-48
-19,29,-48
-33,25,-54
-30,18,-52
-33,17,-53
-41,17,-54
-36,17,-53
-29,21,-48
-32,18,-53
-31,19,-53
-31,19,-57
-29,18,-58
-34,19,-51
-31,23,-54
-30,21,-52
-31,20,-51
-32,18,-53
-28,21,-52
-34,15,-54
-34,17,-56
-28,23,-53
-30,22,-51
-34,13,-55
-32,27,-51
-36,17,-48
-37,14,-49
-35,18,-48
-35,15,-49
-36,16,-52
-35,16,-52
-36,16,-50
-37,16,-53
-38,17,-54
-40,15,-50
-41,16,-51
-43,15,-50
-44,15,-50
-39,15,-46
-25,14,-41
-45,15,-47
-52,17,-48
-45,18,-46
-38,18,-43
-37,22,-45
-36,23,-45
-41,17,-46
-42,15,-47
-48,16,-44
-46,19,-43
-46,20,-42
-47,16,-45
-46,14,-46
-45,9,-43
-40,27,-35
-52,8,-38
-55,4,-35
-53,3,-31
-45,-2,-22
-43,-3,-20
-42,-4,-18
-33,-6,-10
-31,-10,-5
-37,-26,11
-36,-35,22
-30,-44,26
-23,-56,31
-21,-64,31
-20,-75,27
-32,-87,29
-35,-89,22
-29,-86,14
-25,-84,15
-21,-77,20
-19,-74,21
-15,-70,18
-14,-65,17
-16,-65,19
-15,-61,20
-13,-60,21
-15,-57,19
-15,-58,18
-13,-58,18
-11,-60,18
-10,-61,18
-9,-62,18
-7,-62,17
-8,-63,16
-6,-63,15
-5,-62,15
-9,-63,10
-7,-59,12
-9,-57,14
-5,-57,16
-5,-56,17
-11,-56,14
-1,-54,21
-2,-56,21
0,-54,23
2,-56,24
3,-58,23
6,-59,26
4,-60,23
-11,-68,12
-27,-67,6
-25,-63,13
-17,-62,18
-11,-59,20
5,-59,29
3,-61,30
-1,-62,33
6,-56,34
10,-54,31
14,-51,11
3,-55,-4
-38,-69,-21
-45,-62,-11
-36,-58,-7
-20,-55,6
-19,-57,11
-23,-62,10
-26,-67,4
-23,-69,3
-18,-65,2
-15,-63,4
-12,-65,6
-11,-63,9
-12,-63,9
-12,-63,7
-12,-63,5
-14,-61,5
-15,-60,6
-16,-59,5
-16,-59,5
-16,-58,6
-16,-59,6
-16,-59,5
-17,-60,6
-17,-62,6
-18,-62,6
-19,-62,6
-20,-63,6
-21,-64,6
-21,-64,7
-23,-65,6
-18,-62,9
-19,-59,8
-22,-60,9
-17,-62,11
-14,-63,12
-14,-65,11
-15,-65,11
-16,-62,11
-18,-60,9
-16,-60,9
-17,-61,8
-17,-62,8
-15,-65,11
-12,-65,13
-12,-65,14
-10,-63,16
-9,-62,15
-11,-61,17
-11,-59,16
-11,-58,16
-11,-55,17
-11,-55,17
-11,-54,16
-11,-54,16
-11,-55,17
-12,-57,18
-12,-57,18
-12,-57,19
-12,-57,19
-13,-58,20
-13,-60,21
-14,-61,22
-13,-61,22
-13,-60,22
-13,-59,23
-14,-58,24
-14,-57,24
-15,-57,25
-14,-58,26
-13,-57,26
-12,-59,26
-12,-61,26
-11,-68,25
-10,-70,21
-10,-70,19
-10,-67,15
-11,-60,8
-11,-58,6
-12,-57,2
-12,-57,1
-14,-59,-3
-15,-60,-5
-16,-59,-6
-17,-59,-8
-17,-58,-7
-18,-59,-6
-18,-60,-5
-19,-64,-3
-18,-69,-3
-16,-71,-3
-12,-71,-3
-11,-70,-2
-11,-69,-1
-14,-69,1
-15,-70,1
-15,-71,0
-15,-70,-1
-13,-66,4
-9,-56,8
-6,-51,11
-3,-48,18
2,-51,19
11,-58,16
14,-56,16
14,-56,16
12,-59,14
12,-59,12
10,-61,10
8,-62,11
9,-63,11
12,-62,11
13,-61,11
13,-61,12
14,-62,13
15,-60,12
13,-58,12
14,-59,13
15,-59,13
15,-60,11
15,-61,11
17,-59,13
17,-59,13
18,-60,12
18,-59,12
18,-58,12
17,-60,12
16,-61,12
17,-61,13
17,-59,13
17,-59,13
16,-59,13
16,-59,13
17,-59,13
16,-59,12
15,-59,12
14,-58,13
14,-59,13
14,-60,12
15,-60,12
15,-59,13
15,-61,13
16,-61,13
16,-61,13
11,-60,13
11,-60,14
11,-60,15
9,-59,14
6,-59,14
5,-60,15
1,-62,17
-8,-66,20
-9,-68,20
-15,-71,23
